Campeão,Taxa_Vitoria_Media,Variabilidade,Popularidade,Cluster
Aatrox,0.2962665551044525,0.38008621099556716,73,3
Ahri,0.2778616055181082,0.34264404968236223,78,3
Akali,0.2388307161700583,0.351353575921403,62,0
Akshan,0.1168639053254437,0.29746497373774144,25,1
Alistar,0.2548278316029795,0.37283531986749513,63,0
Ambessa,0.1408994572874171,0.3146327477190709,32,2
Amumu,0.1889358504743119,0.3257379084575265,50,2
Anivia,0.2190552051498796,0.3652334996361584,51,0
Annie,0.188834341201205,0.346172554569559,44,2
Aphelios,0.1666384897154127,0.32505325747112157,41,2
Ashe,0.2769748474495453,0.34002450680145846,79,3
AurelionSol,0.1820606743683666,0.3294547025717118,47,2
Aurora,0.1863795545114226,0.3201456834544276,52,2
Azir,0.194075795998873,0.32862996005060546,52,2
Bard,0.1706396167934629,0.33123394622760144,40,2
Belveth,0.1950677527600604,0.35455169837703737,45,0
Blitzcrank,0.1743754109138724,0.33041098387609563,42,2
Brand,0.1998456671533595,0.330591765419447,54,2
Braum,0.219473475242706,0.3463373229414445,56,0
Briar,0.1375739644970414,0.3076839449921761,33,2
Caitlyn,0.2556934014524974,0.3217616999634958,75,3
Camille,0.2035650282884653,0.3372804792774428,52,0
Cassiopeia,0.1688926458157227,0.34712209201001265,36,2
Chogath,0.1407206091463694,0.32588931595259946,29,2
Corki,0.2375739644970413,0.3444329637614884,66,0
Darius,0.1719655716972353,0.3274539110109495,43,2
Diana,0.2248060427755226,0.3280466206815858,64,0
DrMundo,0.1638778899912503,0.3297900458537221,40,2
Draven,0.2626359942758536,0.35300902586736876,69,3
Ekko,0.2530460991999453,0.34774984219010957,70,0
Elise,0.185373814219968,0.33343349840700776,47,2
Evelynn,0.1453648915187376,0.3179508957886477,33,2
Ezreal,0.3012495958331745,0.3431070871023075,87,3
FiddleSticks,0.1698224852071006,0.3274933377800956,41,2
Fiora,0.1486932938856015,0.32294328786488585,33,2
Fizz,0.2153141730064807,0.37261358998269045,47,0
Galio,0.1600239504085658,0.32503923334845364,39,2
Gangplank,0.1540523578985117,0.327949209584796,36,2
Garen,0.1777774084169935,0.3575446385868464,37,2
Gnar,0.1711278323937318,0.33045482386020064,41,2
Gragas,0.262490868473291,0.33823842242398605,75,3
Graves,0.2257828956053808,0.34535213214982824,59,0
Gwen,0.1727294073447919,0.3325981762316616,41,2
Hecarim,0.1742603550295857,0.35163054890451295,38,2
Heimerdinger,0.0404339250493096,0.19031322276075377,8,1
Hwei,0.2569790170381886,0.3478947513843905,69,0
Illaoi,0.0945131791285637,0.28309343317644475,18,1
Irelia,0.1863013338221864,0.34640315228799173,43,2
Ivern,0.2133866133866133,0.3516630177889527,51,0
Janna,0.2189411267465565,0.33821697558007513,57,0
JarvanIV,0.1987743026204564,0.31413707389290113,57,2
Jax,0.2399964269786755,0.37774684453833973,55,0
Jayce,0.2345420294300528,0.37167760013911083,56,0
Jhin,0.3393983683119317,0.3661635501878004,89,3
Jinx,0.3152625200060056,0.3433843507343695,88,3
KSante,0.1305426728503651,0.29816577546570744,31,1
Kaisa,0.3827949882911398,0.3704005793544157,102,3
Kalista,0.1842138630600168,0.3237276127773899,48,2
Karma,0.3215364430365328,0.3711731660579724,85,3
Karthus,0.2022725138109753,0.3152247842848625,57,2
Kassadin,0.1916596224288532,0.32554589019640334,50,2
Katarina,0.1795098064328833,0.30726550142850806,54,2
Kayle,0.1110286182129433,0.280703419733197,27,1
Kayn,0.2293650793650792,0.3509226931085118,62,0
Kennen,0.0818540433925049,0.26733444612150287,15,1
Khazix,0.2263119359273206,0.34383033846023436,62,0
Kindred,0.1736391813314889,0.31114392025539955,48,2
Kled,0.1104536489151873,0.3101499327879428,20,1
KogMaw,0.2393209354747816,0.36870131844062043,57,0
Leblanc,0.2758646350362327,0.3760180578069467,69,3
LeeSin,0.295920321227802,0.3537102551678504,82,3
Leona,0.233672908859428,0.3698185058508969,56,0
Lillia,0.1698669180917702,0.3237803287800921,42,2
Lissandra,0.1922961560921427,0.32800868351992507,50,2
Lucian,0.2812244629633664,0.3431184793815159,79,3
Lulu,0.3254908291455484,0.36521137924971114,85,3
Lux,0.3162621745957339,0.3523496333079941,88,3
Malphite,0.2117260944184021,0.3731273681497497,46,0
Malzahar,0.2056259979336902,0.3520958031898806,48,0
Maokai,0.1852779042128154,0.3447932981266265,44,2
MasterYi,0.2229289940828402,0.3694371132445067,51,0
Milio,0.269655928053074,0.35369087523767634,72,3
MissFortune,0.2830653632012611,0.36588568042476444,74,3
MonkeyKing,0.2123005199928277,0.33420747028219033,57,0
Mordekaiser,0.1684820081878905,0.3091887995363126,47,2
Morgana,0.1763232494001724,0.31500407361781024,47,2
Naafiri,0.0991124260355029,0.27667993582536005,23,1
Nami,0.3001256457642889,0.36079892578503797,80,3
Nasus,0.1720578566732413,0.33708396202686014,39,2
Nautilus,0.2992083149338918,0.35086435357844925,82,3
Neeko,0.1705621301775148,0.32347786041147814,42,2
Nidalee,0.15382722690415,0.3123918335091518,38,2
Nilah,0.1650887573964497,0.34812062790444775,34,2
Nocturne,0.2068943876636184,0.3495766125338761,52,0
Nunu,0.1486193293885601,0.31879724008455035,35,2
Olaf,0.1569119286510591,0.3365369316289173,34,2
Orianna,0.1831228600459369,0.32716870621017174,48,2
Ornn,0.1767094017094017,0.350300639335516,38,2
Pantheon,0.2109551532008107,0.3564797330936518,50,0
Poppy,0.2337487413026232,0.34646108219752036,61,0
Pyke,0.2225543687082149,0.34209019023138737,60,0
Qiyana,0.1249506903353057,0.2957990940411508,29,1
Quinn,0.1492955762186531,0.33131796839224276,32,2
Rakan,0.2742421269515632,0.3652099368666247,73,3
Rammus,0.158284023668639,0.3315484168455857,35,2
RekSai,0.2001127078050155,0.353156686083796,49,0
Rell,0.2030110914726299,0.31651569359716025,57,2
Renata,0.1493096646942801,0.31611457213624977,36,2
Renekton,0.2223549954319185,0.3676780153718901,51,0
Rengar,0.1986592467361698,0.34041472710072074,50,0
Riven,0.22140536688048,0.3743635119323783,48,0
Rumble,0.1936223231896308,0.33886131151848203,48,2
Ryze,0.1843570958955574,0.3363160025691596,45,2
Samira,0.2284959258941158,0.36549441540782435,54,0
Sejuani,0.1729008171315863,0.3328978890282928,42,2
Senna,0.3120260709627225,0.383833287035258,78,3
Seraphine,0.267805197760819,0.3660143037293674,66,3
Sett,0.1239945116199296,0.29983469839315235,27,1
Shaco,0.1933769714834803,0.32110604649986657,54,2
Shen,0.1993248368988013,0.3545190020615526,47,0
Shyvana,0.1451676528599605,0.31393856080839055,34,2
Singed,0.1507748661594815,0.32190299982324944,35,2
Sion,0.1619839666274938,0.3285558145748058,38,2
Sivir,0.2435079220582179,0.373726599284609,57,0
Skarner,0.192600592325867,0.32413393871441776,51,2
Smolder,0.2260263957468877,0.3085285328416687,72,0
Sona,0.1872781065088757,0.3261211637608592,49,2
Soraka,0.2564086308169149,0.35883506383382346,64,0
Swain,0.2534582310600409,0.369901857516538,63,0
Sylas,0.1972387382851412,0.3105938390235204,59,2
Syndra,0.1965173797274389,0.32067185385742986,55,2
TahmKench,0.2315801719647873,0.35294585695320757,58,0
Taliyah,0.2104737704940134,0.3295120989313308,58,0
Talon,0.2231144923452615,0.36431751775174603,54,0
Taric,0.1660749506903353,0.33928171428849974,36,2
Teemo,0.1103777878925808,0.28096037375139266,26,1
Thresh,0.2663187405940332,0.3336281337855884,77,3
Tristana,0.2318423029961491,0.3526999369935606,61,0
Trundle,0.1932709194563778,0.3666905379854744,41,0
Tryndamere,0.1325269752871563,0.31587907062875825,28,2
TwistedFate,0.1683739830189534,0.3210429019242538,43,2
Twitch,0.2179589641128101,0.3517978706232393,56,0
Udyr,0.1816636683500589,0.30260059250751703,50,2
Urgot,0.1060157790927021,0.2819732242969848,23,1
Varus,0.2504639433737936,0.3216415909510484,73,0
Vayne,0.2237534244191048,0.32407448451412324,62,0
Veigar,0.22189004289596,0.35487719924331285,55,0
Velkoz,0.2047102470179393,0.3368814509393997,54,0
Vex,0.1686249647788109,0.31103854216322857,46,2
Vi,0.2287264018033249,0.3392501465237097,61,0
Viego,0.2513532016577613,0.3586739031115637,64,0
Viktor,0.2358074207186632,0.3493909156522535,63,0
Vladimir,0.2928368952290153,0.3734309576345876,72,3
Volibear,0.2039992733312571,0.3490207284677462,50,0
Warwick,0.1373767258382643,0.3195799917419045,30,2
Xayah,0.2425745822804646,0.3407267216158507,67,0
Xerath,0.2052069725146648,0.3336572847309844,55,0
XinZhao,0.2461468019160326,0.3581285355585655,61,0
Yasuo,0.259887597126546,0.3458471726307091,73,3
Yone,0.2361068472976151,0.3362096923841019,68,0
Yorick,0.1993535705601037,0.35577307337288844,45,0
Yuumi,0.1751714097867944,0.32349771178644804,47,2
Zac,0.2510727464168759,0.3553543159884936,66,0
Zed,0.2207129491153159,0.347135086699761,57,0
Zeri,0.2159418936359874,0.3288980586166321,63,0
Ziggs,0.1902612509121385,0.3306550595216548,48,2
Zilean,0.1584906546445007,0.3144940406640477,39,2
Zoe,0.2275021493956405,0.35539110794813394,57,0
Zyra,0.2397640965601286,0.35637902426393,61,0
