ADC_Maestria,Suporte_Maestria,ADC,Suporte,Lane,Frequencia
Alta,Alta,Anivia,Alistar,BOTTOM,1
Alta,Alta,Anivia,Janna,BOTTOM,1
Alta,Alta,Anivia,Karma,BOTTOM,1
Alta,Alta,Aphelios,Velkoz,BOTTOM,1
Alta,Alta,Ashe,Lulu,BOTTOM,2
Alta,Alta,Ashe,Lux,BOTTOM,1
Alta,Alta,Ashe,Milio,BOTTOM,2
Alta,Alta,Ashe,Rakan,BOTTOM,1
Alta,Alta,Ashe,Sona,BOTTOM,1
Alta,Alta,Ashe,Soraka,BOTTOM,1
Alta,Alta,Ashe,Thresh,BOTTOM,2
Alta,Alta,Caitlyn,Lulu,BOTTOM,1
Alta,Alta,Caitlyn,Lux,BOTTOM,1
Alta,Alta,Caitlyn,Nami,BOTTOM,1
Alta,Alta,Caitlyn,Poppy,BOTTOM,1
Alta,Alta,Caitlyn,Sona,BOTTOM,1
Alta,Alta,Caitlyn,Thresh,BOTTOM,2
Alta,Alta,Caitlyn,Zoe,BOTTOM,2
Alta,Alta,Caitlyn,Zyra,BOTTOM,1
Alta,Alta,Cassiopeia,Soraka,BOTTOM,1
Alta,Alta,Corki,Blitzcrank,BOTTOM,1
Alta,Alta,Corki,Braum,BOTTOM,1
Alta,Alta,Corki,Karma,BOTTOM,1
Alta,Alta,Corki,Nautilus,BOTTOM,1
Alta,Alta,Corki,Pyke,BOTTOM,1
Alta,Alta,Corki,Thresh,BOTTOM,1
Alta,Alta,Draven,Alistar,BOTTOM,1
Alta,Alta,Draven,Lulu,BOTTOM,1
Alta,Alta,Draven,Rell,BOTTOM,1
Alta,Alta,Ezreal,Braum,BOTTOM,1
Alta,Alta,Ezreal,Lulu,BOTTOM,1
Alta,Alta,Ezreal,Lux,BOTTOM,1
Alta,Alta,Ezreal,Milio,BOTTOM,1
Alta,Alta,Ezreal,Nautilus,BOTTOM,2
Alta,Alta,Ezreal,Senna,BOTTOM,1
Alta,Alta,Ezreal,Seraphine,BOTTOM,1
Alta,Alta,Ezreal,Soraka,BOTTOM,1
Alta,Alta,Ezreal,Yuumi,BOTTOM,1
Alta,Alta,Ezreal,Zilean,BOTTOM,1
Alta,Alta,Hwei,Karma,BOTTOM,1
Alta,Alta,Jhin,Ivern,BOTTOM,1
Alta,Alta,Jhin,Leona,BOTTOM,1
Alta,Alta,Jhin,Lulu,BOTTOM,1
Alta,Alta,Jhin,Milio,BOTTOM,1
Alta,Alta,Jhin,Nautilus,BOTTOM,1
Alta,Alta,Jhin,Rakan,BOTTOM,1
Alta,Alta,Jhin,Seraphine,BOTTOM,1
Alta,Alta,Jhin,Soraka,BOTTOM,1
Alta,Alta,Jhin,TahmKench,BOTTOM,1
Alta,Alta,Jhin,Thresh,BOTTOM,2
Alta,Alta,Jinx,Alistar,BOTTOM,2
Alta,Alta,Jinx,Bard,BOTTOM,1
Alta,Alta,Jinx,Braum,BOTTOM,1
Alta,Alta,Jinx,Janna,BOTTOM,1
Alta,Alta,Jinx,Karma,BOTTOM,1
Alta,Alta,Jinx,Lulu,BOTTOM,1
Alta,Alta,Jinx,Nami,BOTTOM,1
Alta,Alta,Jinx,Nautilus,BOTTOM,1
Alta,Alta,Jinx,Seraphine,BOTTOM,2
Alta,Alta,Jinx,Soraka,BOTTOM,5
Alta,Alta,Jinx,Thresh,BOTTOM,3
Alta,Alta,Jinx,Velkoz,BOTTOM,1
Alta,Alta,Kaisa,Ashe,BOTTOM,2
Alta,Alta,Kaisa,Braum,BOTTOM,1
Alta,Alta,Kaisa,Karma,BOTTOM,3
Alta,Alta,Kaisa,Nami,BOTTOM,2
Alta,Alta,Kaisa,Poppy,BOTTOM,1
Alta,Alta,Kaisa,Rakan,BOTTOM,1
Alta,Alta,Kaisa,Seraphine,BOTTOM,1
Alta,Alta,Kaisa,Shaco,BOTTOM,1
Alta,Alta,Kaisa,TahmKench,BOTTOM,1
Alta,Alta,Kaisa,Thresh,BOTTOM,2
Alta,Alta,Kalista,Nautilus,BOTTOM,1
Alta,Alta,KogMaw,Milio,BOTTOM,1
Alta,Alta,Lucian,Janna,BOTTOM,1
Alta,Alta,Lucian,Nami,BOTTOM,1
Alta,Alta,Lucian,Soraka,BOTTOM,1
Alta,Alta,Lux,Lulu,BOTTOM,1
Alta,Alta,MissFortune,Lulu,BOTTOM,1
Alta,Alta,MissFortune,Nami,BOTTOM,1
Alta,Alta,MissFortune,Rell,BOTTOM,2
Alta,Alta,MissFortune,Shaco,BOTTOM,1
Alta,Alta,Rengar,Ivern,BOTTOM,20
Alta,Alta,Samira,Lulu,BOTTOM,1
Alta,Alta,Samira,Nami,BOTTOM,1
Alta,Alta,Samira,Nautilus,BOTTOM,1
Alta,Alta,Samira,Sona,BOTTOM,1
Alta,Alta,Samira,Thresh,BOTTOM,1
Alta,Alta,Samira,Zoe,BOTTOM,1
Alta,Alta,Seraphine,Zoe,BOTTOM,1
Alta,Alta,Singed,Thresh,BOTTOM,1
Alta,Alta,Sion,Viego,BOTTOM,1
Alta,Alta,Sivir,Karma,BOTTOM,1
Alta,Alta,Sivir,Leona,BOTTOM,1
Alta,Alta,Sivir,Milio,BOTTOM,1
Alta,Alta,Smolder,Alistar,BOTTOM,2
Alta,Alta,Smolder,Lux,BOTTOM,1
Alta,Alta,Smolder,Nami,BOTTOM,1
Alta,Alta,Smolder,Rell,BOTTOM,2
Alta,Alta,Smolder,Seraphine,BOTTOM,1
Alta,Alta,Smolder,Soraka,BOTTOM,1
Alta,Alta,Smolder,TahmKench,BOTTOM,1
Alta,Alta,Smolder,Thresh,BOTTOM,1
Alta,Alta,Smolder,Velkoz,BOTTOM,2
Alta,Alta,Tristana,Seraphine,BOTTOM,1
Alta,Alta,Twitch,Nami,BOTTOM,1
Alta,Alta,Twitch,Yuumi,BOTTOM,1
Alta,Alta,Varus,Karma,BOTTOM,3
Alta,Alta,Varus,Nami,BOTTOM,1
Alta,Alta,Varus,Nautilus,BOTTOM,1
Alta,Alta,Varus,Pantheon,BOTTOM,1
Alta,Alta,Varus,Rakan,BOTTOM,1
Alta,Alta,Varus,Seraphine,BOTTOM,1
Alta,Alta,Varus,Thresh,BOTTOM,1
Alta,Alta,Vayne,Anivia,BOTTOM,1
Alta,Alta,Vayne,Seraphine,BOTTOM,1
Alta,Alta,Vayne,Soraka,BOTTOM,1
Alta,Alta,Vayne,TahmKench,BOTTOM,1
Alta,Alta,Veigar,Soraka,BOTTOM,1
Alta,Alta,Xayah,Nautilus,BOTTOM,1
Alta,Alta,Zeri,Karma,BOTTOM,1
Alta,Alta,Zeri,Nami,BOTTOM,1
Alta,Alta,Zeri,Pyke,BOTTOM,1
Alta,Alta,Zeri,Soraka,BOTTOM,1
Alta,Alta,Zeri,Taric,BOTTOM,1
Alta,Alta,Zeri,Xerath,BOTTOM,1
Alta,Alta,Ziggs,Alistar,BOTTOM,1
Alta,Alta,Ziggs,TahmKench,BOTTOM,1
Alta,Baixa,Aphelios,Senna,BOTTOM,1
Alta,Baixa,Ashe,Braum,BOTTOM,1
Alta,Baixa,Ashe,Morgana,BOTTOM,1
Alta,Baixa,Ashe,TahmKench,BOTTOM,1
Alta,Baixa,Caitlyn,Blitzcrank,BOTTOM,1
Alta,Baixa,Caitlyn,Janna,BOTTOM,1
Alta,Baixa,Caitlyn,Milio,BOTTOM,2
Alta,Baixa,Caitlyn,Morgana,BOTTOM,1
Alta,Baixa,Caitlyn,Rell,BOTTOM,2
Alta,Baixa,Caitlyn,Xerath,BOTTOM,1
Alta,Baixa,Caitlyn,Zyra,BOTTOM,1
Alta,Baixa,Cassiopeia,Nautilus,BOTTOM,1
Alta,Baixa,Corki,Renata,BOTTOM,1
Alta,Baixa,Draven,Braum,BOTTOM,2
Alta,Baixa,Draven,Nautilus,BOTTOM,1
Alta,Baixa,Ezreal,Janna,BOTTOM,1
Alta,Baixa,Ezreal,Thresh,BOTTOM,1
Alta,Baixa,Hwei,Alistar,BOTTOM,1
Alta,Baixa,Jhin,Blitzcrank,BOTTOM,1
Alta,Baixa,Jhin,Karma,BOTTOM,3
Alta,Baixa,Jhin,Milio,BOTTOM,2
Alta,Baixa,Jhin,Nautilus,BOTTOM,1
Alta,Baixa,Jhin,Poppy,BOTTOM,2
Alta,Baixa,Jhin,Senna,BOTTOM,1
Alta,Baixa,Jhin,Sona,BOTTOM,1
Alta,Baixa,Jhin,Zoe,BOTTOM,1
Alta,Baixa,Jinx,Alistar,BOTTOM,1
Alta,Baixa,Jinx,Janna,BOTTOM,3
Alta,Baixa,Jinx,Lux,BOTTOM,1
Alta,Baixa,Jinx,Milio,BOTTOM,1
Alta,Baixa,Jinx,Nautilus,BOTTOM,1
Alta,Baixa,Jinx,Neeko,BOTTOM,1
Alta,Baixa,Jinx,Pyke,BOTTOM,1
Alta,Baixa,Jinx,Rell,BOTTOM,2
Alta,Baixa,Jinx,Seraphine,BOTTOM,1
Alta,Baixa,Jinx,Sona,BOTTOM,1
Alta,Baixa,Jinx,Swain,BOTTOM,1
Alta,Baixa,Jinx,TahmKench,BOTTOM,1
Alta,Baixa,Jinx,Yuumi,BOTTOM,1
Alta,Baixa,Kaisa,Karma,BOTTOM,1
Alta,Baixa,Kaisa,Lulu,BOTTOM,2
Alta,Baixa,Kaisa,Lux,BOTTOM,1
Alta,Baixa,Kaisa,Maokai,BOTTOM,1
Alta,Baixa,Kaisa,Nami,BOTTOM,1
Alta,Baixa,Kaisa,Nautilus,BOTTOM,1
Alta,Baixa,Kaisa,Pyke,BOTTOM,1
Alta,Baixa,Kaisa,Rakan,BOTTOM,1
Alta,Baixa,Kaisa,Rell,BOTTOM,3
Alta,Baixa,Kaisa,Seraphine,BOTTOM,1
Alta,Baixa,Kaisa,TahmKench,BOTTOM,1
Alta,Baixa,Kaisa,Thresh,BOTTOM,1
Alta,Baixa,Kaisa,Zyra,BOTTOM,1
Alta,Baixa,Kalista,Rakan,BOTTOM,1
Alta,Baixa,KogMaw,Thresh,BOTTOM,1
Alta,Baixa,Lucian,Nami,BOTTOM,1
Alta,Baixa,Lucian,Thresh,BOTTOM,1
Alta,Baixa,Lux,Rakan,BOTTOM,2
Alta,Baixa,Lux,Seraphine,BOTTOM,1
Alta,Baixa,Lux,Soraka,BOTTOM,1
Alta,Baixa,Lux,Xerath,BOTTOM,1
Alta,Baixa,MissFortune,Nautilus,BOTTOM,1
Alta,Baixa,Samira,Leona,BOTTOM,1
Alta,Baixa,Samira,Senna,BOTTOM,1
Alta,Baixa,Samira,Soraka,BOTTOM,1
Alta,Baixa,Seraphine,Rell,BOTTOM,1
Alta,Baixa,Seraphine,Senna,BOTTOM,1
Alta,Baixa,Seraphine,Sion,BOTTOM,1
Alta,Baixa,Singed,Alistar,BOTTOM,1
Alta,Baixa,Singed,Rell,BOTTOM,1
Alta,Baixa,Sivir,Lulu,BOTTOM,1
Alta,Baixa,Smolder,Lux,BOTTOM,1
Alta,Baixa,Smolder,Rell,BOTTOM,1
Alta,Baixa,Varus,Brand,BOTTOM,1
Alta,Baixa,Varus,Leona,BOTTOM,1
Alta,Baixa,Varus,Nami,BOTTOM,2
Alta,Baixa,Vayne,Lulu,BOTTOM,1
Alta,Baixa,Vayne,Seraphine,BOTTOM,1
Alta,Baixa,Zeri,Leona,BOTTOM,1
Alta,Baixa,Zeri,Renata,BOTTOM,1
Alta,Baixa,Ziggs,Morgana,BOTTOM,1
Alta,Baixa,Ziggs,Rell,BOTTOM,1
Baixa,Alta,Aphelios,Janna,BOTTOM,1
Baixa,Alta,Ashe,Ivern,BOTTOM,1
Baixa,Alta,Ashe,Karma,BOTTOM,1
Baixa,Alta,Ashe,Rell,BOTTOM,1
Baixa,Alta,Ashe,Senna,BOTTOM,1
Baixa,Alta,Caitlyn,Camille,BOTTOM,1
Baixa,Alta,Caitlyn,Lux,BOTTOM,1
Baixa,Alta,Caitlyn,Nautilus,BOTTOM,3
Baixa,Alta,Caitlyn,Pyke,BOTTOM,1
Baixa,Alta,Caitlyn,Sona,BOTTOM,1
Baixa,Alta,Caitlyn,Velkoz,BOTTOM,1
Baixa,Alta,Cassiopeia,Sona,BOTTOM,1
Baixa,Alta,Cassiopeia,Soraka,BOTTOM,1
Baixa,Alta,Corki,Soraka,BOTTOM,1
Baixa,Alta,Draven,Karma,BOTTOM,1
Baixa,Alta,Draven,Milio,BOTTOM,1
Baixa,Alta,Ezreal,Karma,BOTTOM,1
Baixa,Alta,Ezreal,Lulu,BOTTOM,1
Baixa,Alta,Ezreal,Lux,BOTTOM,1
Baixa,Alta,Ezreal,Morgana,BOTTOM,1
Baixa,Alta,Ezreal,Nami,BOTTOM,1
Baixa,Alta,Ezreal,Pyke,BOTTOM,2
Baixa,Alta,Ezreal,Rell,BOTTOM,1
Baixa,Alta,Ezreal,Sona,BOTTOM,2
Baixa,Alta,Ezreal,Soraka,BOTTOM,3
Baixa,Alta,Ezreal,Thresh,BOTTOM,3
Baixa,Alta,Ezreal,Velkoz,BOTTOM,1
Baixa,Alta,Ezreal,Zyra,BOTTOM,1
Baixa,Alta,Jhin,Alistar,BOTTOM,1
Baixa,Alta,Jhin,Karma,BOTTOM,2
Baixa,Alta,Jhin,Leona,BOTTOM,1
Baixa,Alta,Jhin,Lulu,BOTTOM,1
Baixa,Alta,Jhin,Nautilus,BOTTOM,1
Baixa,Alta,Jhin,Taric,BOTTOM,1
Baixa,Alta,Jinx,Blitzcrank,BOTTOM,1
Baixa,Alta,Jinx,Galio,BOTTOM,1
Baixa,Alta,Jinx,Karma,BOTTOM,1
Baixa,Alta,Jinx,Lulu,BOTTOM,2
Baixa,Alta,Jinx,Milio,BOTTOM,1
Baixa,Alta,Jinx,Nami,BOTTOM,1
Baixa,Alta,Jinx,Soraka,BOTTOM,1
Baixa,Alta,Jinx,TahmKench,BOTTOM,1
Baixa,Alta,Jinx,Thresh,BOTTOM,2
Baixa,Alta,Jinx,Zac,BOTTOM,1
Baixa,Alta,Jinx,Zyra,BOTTOM,1
Baixa,Alta,Kaisa,Bard,BOTTOM,1
Baixa,Alta,Kaisa,Hwei,BOTTOM,1
Baixa,Alta,Kaisa,Karma,BOTTOM,1
Baixa,Alta,Kaisa,Lulu,BOTTOM,1
Baixa,Alta,Kaisa,Milio,BOTTOM,1
Baixa,Alta,Kaisa,Nautilus,BOTTOM,2
Baixa,Alta,Kaisa,Pyke,BOTTOM,1
Baixa,Alta,Kaisa,Rakan,BOTTOM,1
Baixa,Alta,Kalista,Leona,BOTTOM,1
Baixa,Alta,Kalista,Rell,BOTTOM,1
Baixa,Alta,Kalista,Yuumi,BOTTOM,1
Baixa,Alta,KogMaw,Lulu,BOTTOM,1
Baixa,Alta,KogMaw,Nami,BOTTOM,2
Baixa,Alta,KogMaw,Rakan,BOTTOM,1
Baixa,Alta,KogMaw,Soraka,BOTTOM,1
Baixa,Alta,KogMaw,Thresh,BOTTOM,1
Baixa,Alta,KogMaw,Yuumi,BOTTOM,1
Baixa,Alta,Lucian,Alistar,BOTTOM,1
Baixa,Alta,Lucian,Braum,BOTTOM,1
Baixa,Alta,Lucian,Hwei,BOTTOM,1
Baixa,Alta,Lucian,Karma,BOTTOM,2
Baixa,Alta,Lucian,Lulu,BOTTOM,1
Baixa,Alta,Lucian,Milio,BOTTOM,1
Baixa,Alta,Lucian,Sona,BOTTOM,1
Baixa,Alta,Lucian,TahmKench,BOTTOM,1
Baixa,Alta,Lucian,Thresh,BOTTOM,1
Baixa,Alta,Lucian,Yuumi,BOTTOM,1
Baixa,Alta,Lux,Ziggs,BOTTOM,1
Baixa,Alta,MissFortune,Karma,BOTTOM,1
Baixa,Alta,MissFortune,Leona,BOTTOM,1
Baixa,Alta,MissFortune,Pyke,BOTTOM,1
Baixa,Alta,MissFortune,Rakan,BOTTOM,1
Baixa,Alta,MissFortune,Thresh,BOTTOM,1
Baixa,Alta,MissFortune,Zyra,BOTTOM,2
Baixa,Alta,Nilah,Janna,BOTTOM,1
Baixa,Alta,Nilah,Thresh,BOTTOM,1
Baixa,Alta,Samira,Alistar,BOTTOM,1
Baixa,Alta,Samira,Braum,BOTTOM,1
Baixa,Alta,Samira,Nautilus,BOTTOM,3
Baixa,Alta,Samira,Pyke,BOTTOM,2
Baixa,Alta,Sivir,Braum,BOTTOM,1
Baixa,Alta,Sivir,Pyke,BOTTOM,1
Baixa,Alta,Sivir,Soraka,BOTTOM,1
Baixa,Alta,Sivir,Taric,BOTTOM,1
Baixa,Alta,Smolder,Karma,BOTTOM,2
Baixa,Alta,Smolder,Soraka,BOTTOM,1
Baixa,Alta,Tristana,Brand,BOTTOM,1
Baixa,Alta,Tristana,Milio,BOTTOM,1
Baixa,Alta,Tristana,Soraka,BOTTOM,1
Baixa,Alta,Tristana,Velkoz,BOTTOM,1
Baixa,Alta,Twitch,Pyke,BOTTOM,1
Baixa,Alta,Varus,Hwei,BOTTOM,1
Baixa,Alta,Varus,Karma,BOTTOM,1
Baixa,Alta,Varus,Rell,BOTTOM,1
Baixa,Alta,Vayne,Camille,BOTTOM,1
Baixa,Alta,Vayne,Karma,BOTTOM,1
Baixa,Alta,Vayne,Pyke,BOTTOM,1
Baixa,Alta,Vayne,Thresh,BOTTOM,1
Baixa,Alta,Xayah,Alistar,BOTTOM,1
Baixa,Alta,Xayah,Bard,BOTTOM,1
Baixa,Alta,Xayah,Braum,BOTTOM,1
Baixa,Alta,Xayah,Lulu,BOTTOM,2
Baixa,Alta,Xayah,Soraka,BOTTOM,1
Baixa,Alta,Xayah,Thresh,BOTTOM,1
Baixa,Alta,Yasuo,Ivern,BOTTOM,1
Baixa,Alta,Zeri,Lulu,BOTTOM,2
Baixa,Alta,Zeri,Neeko,BOTTOM,1
Baixa,Baixa,Aphelios,Alistar,BOTTOM,1
Baixa,Baixa,Ashe,Braum,BOTTOM,1
Baixa,Baixa,Ashe,Morgana,BOTTOM,1
Baixa,Baixa,Ashe,Nautilus,BOTTOM,1
Baixa,Baixa,Ashe,Poppy,BOTTOM,1
Baixa,Baixa,Ashe,Pyke,BOTTOM,1
Baixa,Baixa,Ashe,Rell,BOTTOM,1
Baixa,Baixa,Ashe,Thresh,BOTTOM,1
Baixa,Baixa,Caitlyn,Karma,BOTTOM,1
Baixa,Baixa,Caitlyn,Lux,BOTTOM,1
Baixa,Baixa,Caitlyn,Seraphine,BOTTOM,1
Baixa,Baixa,Corki,Karma,BOTTOM,1
Baixa,Baixa,Corki,Senna,BOTTOM,1
Baixa,Baixa,Draven,Swain,BOTTOM,1
Baixa,Baixa,Ezreal,Nami,BOTTOM,2
Baixa,Baixa,Ezreal,Pyke,BOTTOM,1
Baixa,Baixa,Ezreal,Rell,BOTTOM,1
Baixa,Baixa,Ezreal,Renata,BOTTOM,1
Baixa,Baixa,Ezreal,Seraphine,BOTTOM,1
Baixa,Baixa,Hwei,Zilean,BOTTOM,1
Baixa,Baixa,Jhin,Bard,BOTTOM,1
Baixa,Baixa,Jhin,Karma,BOTTOM,1
Baixa,Baixa,Jhin,Swain,BOTTOM,1
Baixa,Baixa,Jinx,Leona,BOTTOM,1
Baixa,Baixa,Jinx,Milio,BOTTOM,2
Baixa,Baixa,Jinx,Swain,BOTTOM,1
Baixa,Baixa,Jinx,Thresh,BOTTOM,1
Baixa,Baixa,Kaisa,Braum,BOTTOM,1
Baixa,Baixa,Kaisa,Lulu,BOTTOM,1
Baixa,Baixa,Kaisa,Nautilus,BOTTOM,1
Baixa,Baixa,Kaisa,Pyke,BOTTOM,1
Baixa,Baixa,Kaisa,Xerath,BOTTOM,1
Baixa,Baixa,Kalista,Leona,BOTTOM,1
Baixa,Baixa,Kalista,Lulu,BOTTOM,2
Baixa,Baixa,Kalista,Renata,BOTTOM,1
Baixa,Baixa,KogMaw,Alistar,BOTTOM,1
Baixa,Baixa,KogMaw,Thresh,BOTTOM,1
Baixa,Baixa,Lucian,Braum,BOTTOM,2
Baixa,Baixa,Lucian,Karma,BOTTOM,1
Baixa,Baixa,Lucian,Lulu,BOTTOM,1
Baixa,Baixa,Lucian,Milio,BOTTOM,2
Baixa,Baixa,Lucian,Nautilus,BOTTOM,1
Baixa,Baixa,MissFortune,Braum,BOTTOM,1
Baixa,Baixa,MissFortune,Leona,BOTTOM,1
Baixa,Baixa,MissFortune,Lulu,BOTTOM,1
Baixa,Baixa,MissFortune,Poppy,BOTTOM,1
Baixa,Baixa,MissFortune,Thresh,BOTTOM,1
Baixa,Baixa,Nautilus,Senna,BOTTOM,1
Baixa,Baixa,Nilah,Blitzcrank,BOTTOM,1
Baixa,Baixa,Samira,Renata,BOTTOM,1
Baixa,Baixa,Sivir,Thresh,BOTTOM,1
Baixa,Baixa,Smolder,Braum,BOTTOM,1
Baixa,Baixa,Smolder,Leona,BOTTOM,1
Baixa,Baixa,Smolder,MissFortune,BOTTOM,1
Baixa,Baixa,Smolder,Rakan,BOTTOM,2
Baixa,Baixa,Smolder,Rell,BOTTOM,1
Baixa,Baixa,Smolder,Renata,BOTTOM,1
Baixa,Baixa,Smolder,Xerath,BOTTOM,1
Baixa,Baixa,Smolder,Zilean,BOTTOM,1
Baixa,Baixa,Smolder,Zyra,BOTTOM,1
Baixa,Baixa,Swain,Xerath,BOTTOM,1
Baixa,Baixa,Tristana,Senna,BOTTOM,1
Baixa,Baixa,Tristana,Thresh,BOTTOM,1
Baixa,Baixa,Tristana,Zilean,BOTTOM,1
Baixa,Baixa,Twitch,Lulu,BOTTOM,1
Baixa,Baixa,Twitch,Seraphine,BOTTOM,1
Baixa,Baixa,Twitch,Sona,BOTTOM,1
Baixa,Baixa,Varus,Ashe,BOTTOM,1
Baixa,Baixa,Varus,Janna,BOTTOM,1
Baixa,Baixa,Varus,Rell,BOTTOM,2
Baixa,Baixa,Varus,Senna,BOTTOM,1
Baixa,Baixa,Varus,Thresh,BOTTOM,1
Baixa,Baixa,Vayne,Leona,BOTTOM,1
Baixa,Baixa,Vayne,Soraka,BOTTOM,1
Baixa,Baixa,Vayne,TahmKench,BOTTOM,1
Baixa,Baixa,Veigar,Leona,BOTTOM,2
Baixa,Baixa,Xayah,Nautilus,BOTTOM,1
Baixa,Baixa,Xayah,Rakan,BOTTOM,1
Baixa,Baixa,Xayah,Thresh,BOTTOM,2
Baixa,Baixa,Zeri,Braum,BOTTOM,1
Baixa,Baixa,Zeri,Janna,BOTTOM,1
Baixa,Baixa,Zeri,Nami,BOTTOM,1
Baixa,Baixa,Zeri,Thresh,BOTTOM,1
Baixa,Baixa,Zeri,Yuumi,BOTTOM,1
Baixa,Baixa,Ziggs,Hwei,BOTTOM,1
Baixa,Baixa,Ziggs,Soraka,BOTTOM,1
Baixa,Baixa,Ziggs,Thresh,BOTTOM,1
