player_champion,Posição_Counter,Counter,Campeão,Taxa_Vitoria_Media
Missfortune,Counter 2,Karthus,Karthus,0.2022725138109753
Monkeyking,Counter 2,Karthus,Karthus,0.2022725138109753
Mordekaiser,Counter 2,Sejuani,Sejuani,0.17290081713158634
Morgana,Counter 2,Soraka,Soraka,0.2564086308169149
Naafiri,Counter 2,Volibear,Volibear,0.20399927333125714
Nami,Counter 2,Sivir,Sivir,0.24350792205821795
Nasus,Counter 2,Skarner,Skarner,0.19260059232586704
Nautilus,Counter 2,Karma,Karma,0.32153644303653284
Neeko,Counter 2,Samira,Samira,0.22849592589411588
Nidalee,Counter 2,Samira,Samira,0.22849592589411588
Nilah,Counter 2,Skarner,Skarner,0.19260059232586704
Nocturne,Counter 2,Samira,Samira,0.22849592589411588
Nunu,Counter 2,Skarner,Skarner,0.19260059232586704
Orianna,Counter 2,Kassadin,Kassadin,0.1916596224288532
Ornn,Counter 2,Rumble,Rumble,0.19362232318963088
Pantheon,Counter 2,Ekko,Ekko,0.25304609919994536
Poppy,Counter 2,Karma,Karma,0.32153644303653284
Pyke,Counter 2,Shen,Shen,0.19932483689880137
Qiyana,Counter 2,Ezreal,Ezreal,0.30124959583317457
Quinn,Counter 2,Xerath,Xerath,0.2052069725146648
Rakan,Counter 2,Kaisa,Kaisa,0.3827949882911398
Rammus,Counter 2,Renekton,Renekton,0.2223549954319185
Reksai,Counter 2,Draven,Draven,0.2626359942758536
Renata,Counter 2,Zac,Zac,0.2510727464168759
Renekton,Counter 2,Yasuo,Yasuo,0.259887597126546
Rengar,Counter 2,Diana,Diana,0.22480604277552269
Riven,Counter 2,Ekko,Ekko,0.25304609919994536
Rumble,Counter 2,Diana,Diana,0.22480604277552269
Ryze,Counter 2,Yorick,Yorick,0.19935357056010372
Samira,Counter 2,Yasuo,Yasuo,0.259887597126546
Sejuani,Counter 2,Yuumi,Yuumi,0.17517140978679444
Senna,Counter 2,Jhin,Jhin,0.3393983683119317
Seraphine,Counter 2,Jinx,Jinx,0.31526252000600563
Sett,Counter 2,Briar,Briar,0.13757396449704143
Shaco,Counter 2,Cassiopeia,Cassiopeia,0.16889264581572272
Shen,Counter 2,Briar,Briar,0.13757396449704143
Shyvana,Counter 2,Yuumi,Yuumi,0.17517140978679444
Singed,Counter 2,Zeri,Zeri,0.2159418936359874
Sion,Counter 2,Zeri,Zeri,0.2159418936359874
Sivir,Counter 2,Zeri,Zeri,0.2159418936359874
Skarner,Counter 2,Elise,Elise,0.18537381421996807
Sona,Counter 2,Fizz,Fizz,0.2153141730064807
Soraka,Counter 2,Briar,Briar,0.13757396449704143
Swain,Counter 2,Brand,Brand,0.1998456671533595
Sylas,Counter 2,Brand,Brand,0.1998456671533595
Syndra,Counter 2,Blitzcrank,Blitzcrank,0.17437541091387246
Tahmkench,Counter 2,Bard,Bard,0.17063961679346293
Taliyah,Counter 2,Bard,Bard,0.17063961679346293
Talon,Counter 2,Azir,Azir,0.194075795998873
Teemo,Counter 2,Camille,Camille,0.20356502828846537
Trundle,Counter 2,Aurora,Aurora,0.1863795545114226
Twistedfate,Counter 2,Garen,Garen,0.17777740841699355
Twitch,Counter 2,Aphelios,Aphelios,0.16663848971541279
Udyr,Counter 2,Ashe,Ashe,0.27697484744954537
Urgot,Counter 2,Fizz,Fizz,0.2153141730064807
Varus,Counter 2,Aphelios,Aphelios,0.16663848971541279
Vayne,Counter 2,Annie,Annie,0.18883434120120507
Veigar,Counter 2,Gangplank,Gangplank,0.15405235789851174
Velkoz,Counter 2,Amumu,Amumu,0.18893585047431197
Vex,Counter 2,Alistar,Alistar,0.25482783160297956
Vi,Counter 2,Ahri,Ahri,0.27786160551810823
Viego,Counter 2,Ahri,Ahri,0.27786160551810823
Viktor,Counter 2,Ivern,Ivern,0.21338661338661338
Vladimir,Counter 2,Heimerdinger,Heimerdinger,0.04043392504930967
Volibear,Counter 2,Hecarim,Hecarim,0.17426035502958578
Warwick,Counter 2,Garen,Garen,0.17777740841699355
Xayah,Counter 2,Hwei,Hwei,0.2569790170381886
Xerath,Counter 2,Heimerdinger,Heimerdinger,0.04043392504930967
Xinzhao,Counter 2,Irelia,Irelia,0.18630133382218647
Yasuo,Counter 2,Fiora,Fiora,0.14869329388560157
Yone,Counter 2,Gangplank,Gangplank,0.15405235789851174
Yorick,Counter 2,Illaoi,Illaoi,0.09451317912856375
Yuumi,Counter 2,Garen,Garen,0.17777740841699355
Zac,Counter 2,Gragas,Gragas,0.262490868473291
Zed,Counter 2,Illaoi,Illaoi,0.09451317912856375
Zeri,Counter 2,Akali,Akali,0.23883071617005838
Ziggs,Counter 2,Gwen,Gwen,0.17272940734479195
Zilean,Counter 2,Gwen,Gwen,0.17272940734479195
Zoe,Counter 2,Gnar,Gnar,0.17112783239373186
Zyra,Counter 2,Jayce,Jayce,0.2345420294300528
Aatrox,Counter 3,Taliyah,Taliyah,0.2104737704940134
Ahri,Counter 3,Leona,Leona,0.233672908859428
Akali,Counter 3,Neeko,Neeko,0.1705621301775148
Akshan,Counter 3,Pyke,Pyke,0.22255436870821493
Alistar,Counter 3,Milio,Milio,0.269655928053074
Ambessa,Counter 3,Pyke,Pyke,0.22255436870821493
Amumu,Counter 3,Morgana,Morgana,0.17632324940017247
Anivia,Counter 3,Zoe,Zoe,0.22750214939564056
Annie,Counter 3,Rakan,Rakan,0.27424212695156325
Aphelios,Counter 3,Nidalee,Nidalee,0.15382722690415002
Ashe,Counter 3,Seraphine,Seraphine,0.26780519776081907
Aurelionsol,Counter 3,Naafiri,Naafiri,0.09911242603550297
Aurora,Counter 3,Taliyah,Taliyah,0.2104737704940134
Azir,Counter 3,Neeko,Neeko,0.1705621301775148
Bard,Counter 3,Neeko,Neeko,0.1705621301775148
Belveth,Counter 3,Nami,Nami,0.3001256457642889
Blitzcrank,Counter 3,Nautilus,Nautilus,0.29920831493389183
Brand,Counter 3,Nunu,Nunu,0.14861932938856012
Braum,Counter 3,Milio,Milio,0.269655928053074
Briar,Counter 3,Rakan,Rakan,0.27424212695156325
Caitlyn,Counter 3,Shaco,Shaco,0.19337697148348035
Camille,Counter 3,Nautilus,Nautilus,0.29920831493389183
Cassiopeia,Counter 3,Rakan,Rakan,0.27424212695156325
Chogath,Counter 3,Pyke,Pyke,0.22255436870821493
Corki,Counter 3,Taliyah,Taliyah,0.2104737704940134
Darius,Counter 3,Varus,Varus,0.2504639433737936
Drmundo,Counter 3,Rammus,Rammus,0.15828402366863906
Draven,Counter 3,Vex,Vex,0.1686249647788109
Ekko,Counter 3,Viego,Viego,0.2513532016577613
Elise,Counter 3,Maokai,Maokai,0.18527790421281545
Evelynn,Counter 3,Rammus,Rammus,0.15828402366863906
Ezreal,Counter 3,Lux,Lux,0.3162621745957339
Fiddlesticks,Counter 3,Veigar,Veigar,0.22189004289596007
Fiora,Counter 3,Ornn,Ornn,0.1767094017094017
Garen,Counter 3,Olaf,Olaf,0.1569119286510591
Gnar,Counter 3,Urgot,Urgot,0.10601577909270216
Gragas,Counter 3,Lucian,Lucian,0.28122446296336645
Graves,Counter 3,Syndra,Syndra,0.19651737972743893
Gwen,Counter 3,Maokai,Maokai,0.18527790421281545
Hecarim,Counter 3,Nasus,Nasus,0.1720578566732413
Heimerdinger,Counter 3,Renekton,Renekton,0.2223549954319185
Hwei,Counter 3,Lulu,Lulu,0.3254908291455484
Illaoi,Counter 3,Renata,Renata,0.1493096646942801
Irelia,Counter 3,Lissandra,Lissandra,0.19229615609214273
Ivern,Counter 3,Tristana,Tristana,0.23184230299614916
Janna,Counter 3,Lissandra,Lissandra,0.19229615609214273
Jarvaniv,Counter 3,Vex,Vex,0.1686249647788109
Jax,Counter 3,Lillia,Lillia,0.1698669180917702
Jayce,Counter 3,Lillia,Lillia,0.1698669180917702
Jhin,Counter 3,Leblanc,Leblanc,0.2758646350362327
Jinx,Counter 3,Renata,Renata,0.1493096646942801
Ksante,Counter 3,Viktor,Viktor,0.23580742071866329
Kaisa,Counter 3,Khazix,Khazix,0.2263119359273206
Karma,Counter 3,Kayn,Kayn,0.22936507936507927
Karthus,Counter 3,Leona,Leona,0.233672908859428
Kassadin,Counter 3,Leblanc,Leblanc,0.2758646350362327
Kayle,Counter 3,Malphite,Malphite,0.21172609441840212
Kayn,Counter 3,Khazix,Khazix,0.2263119359273206
Kennen,Counter 3,Riven,Riven,0.22140536688048001
Khazix,Counter 3,Veigar,Veigar,0.22189004289596007
Kindred,Counter 3,Swain,Swain,0.25345823106004095
Kled,Counter 3,Rumble,Rumble,0.19362232318963088
Kogmaw,Counter 3,Katarina,Katarina,0.17950980643288333
Leblanc,Counter 3,Udyr,Udyr,0.18166366835005893
Leesin,Counter 3,Katarina,Katarina,0.17950980643288333
Lillia,Counter 3,Smolder,Smolder,0.22602639574688774
Lissandra,Counter 3,Swain,Swain,0.25345823106004095
Lucian,Counter 3,Sona,Sona,0.18727810650887572
Lulu,Counter 3,Shaco,Shaco,0.19337697148348035
Lux,Counter 3,Shaco,Shaco,0.19337697148348035
Malphite,Counter 3,Singed,Singed,0.15077486615948155
Malzahar,Counter 3,Tryndamere,Tryndamere,0.1325269752871563
Maokai,Counter 3,Soraka,Soraka,0.2564086308169149
Masteryi,Counter 3,Trundle,Trundle,0.1932709194563778
Milio,Counter 3,Karthus,Karthus,0.2022725138109753
Missfortune,Counter 3,Soraka,Soraka,0.2564086308169149
Monkeyking,Counter 3,Seraphine,Seraphine,0.26780519776081907
Mordekaiser,Counter 3,Senna,Senna,0.31202607096272256
Morgana,Counter 3,Sona,Sona,0.18727810650887572
Naafiri,Counter 3,Rengar,Rengar,0.1986592467361698
Nami,Counter 3,Kalista,Kalista,0.18421386306001686
Nasus,Counter 3,Sivir,Sivir,0.24350792205821795
Nautilus,Counter 3,Kalista,Kalista,0.18421386306001686
Neeko,Counter 3,Sejuani,Sejuani,0.17290081713158634
Nidalee,Counter 3,Shen,Shen,0.19932483689880137
Nilah,Counter 3,Singed,Singed,0.15077486615948155
Nocturne,Counter 3,Ryze,Ryze,0.18435709589555746
Nunu,Counter 3,Sion,Sion,0.16198396662749381
Olaf,Counter 3,Sion,Sion,0.16198396662749381
Orianna,Counter 3,Ekko,Ekko,0.25304609919994536
Ornn,Counter 3,Kennen,Kennen,0.08185404339250492
Pantheon,Counter 3,Draven,Draven,0.2626359942758536
Poppy,Counter 3,Elise,Elise,0.18537381421996807
Pyke,Counter 3,Karma,Karma,0.32153644303653284
Qiyana,Counter 3,Evelynn,Evelynn,0.14536489151873763
Rakan,Counter 3,Jinx,Jinx,0.31526252000600563
Rammus,Counter 3,Riven,Riven,0.22140536688048001
Rell,Counter 3,Cassiopeia,Cassiopeia,0.16889264581572272
Renata,Counter 3,Evelynn,Evelynn,0.14536489151873763
Renekton,Counter 3,Zed,Zed,0.22071294911531597
Rengar,Counter 3,Corki,Corki,0.23757396449704138
Riven,Counter 3,Draven,Draven,0.2626359942758536
Rumble,Counter 3,Zed,Zed,0.22071294911531597
Ryze,Counter 3,Chogath,Chogath,0.14072060914636944
Samira,Counter 3,Corki,Corki,0.23757396449704138
Sejuani,Counter 3,Zed,Zed,0.22071294911531597
Seraphine,Counter 3,Chogath,Chogath,0.14072060914636944
Sett,Counter 3,Caitlyn,Caitlyn,0.2556934014524974
Shaco,Counter 3,Caitlyn,Caitlyn,0.2556934014524974
Shen,Counter 3,Braum,Braum,0.219473475242706
Shyvana,Counter 3,Zac,Zac,0.2510727464168759
Singed,Counter 3,Ziggs,Ziggs,0.1902612509121385
Sion,Counter 3,Ziggs,Ziggs,0.1902612509121385
Sivir,Counter 3,Ziggs,Ziggs,0.1902612509121385
Skarner,Counter 3,Zilean,Zilean,0.15849065464450077
Smolder,Counter 3,Jhin,Jhin,0.3393983683119317
Soraka,Counter 3,Braum,Braum,0.219473475242706
Swain,Counter 3,Blitzcrank,Blitzcrank,0.17437541091387246
Sylas,Counter 3,Blitzcrank,Blitzcrank,0.17437541091387246
Syndra,Counter 3,Belveth,Belveth,0.19506775276006044
Tahmkench,Counter 3,Azir,Azir,0.194075795998873
Taliyah,Counter 3,Aurora,Aurora,0.1863795545114226
Taric,Counter 3,Ahri,Ahri,0.27786160551810823
Teemo,Counter 3,Ezreal,Ezreal,0.30124959583317457
Thresh,Counter 3,Ivern,Ivern,0.21338661338661338
Tristana,Counter 3,Ashe,Ashe,0.27697484744954537
Tryndamere,Counter 3,Fizz,Fizz,0.2153141730064807
Twistedfate,Counter 3,Galio,Galio,0.16002395040856582
Twitch,Counter 3,Annie,Annie,0.18883434120120507
Udyr,Counter 3,Aphelios,Aphelios,0.16663848971541279
Urgot,Counter 3,Galio,Galio,0.16002395040856582
Varus,Counter 3,Annie,Annie,0.18883434120120507
Vayne,Counter 3,Anivia,Anivia,0.21905520514987967
Veigar,Counter 3,Anivia,Anivia,0.21905520514987967
Velkoz,Counter 3,Alistar,Alistar,0.25482783160297956
Vex,Counter 3,Akshan,Akshan,0.11686390532544376
Vi,Counter 3,Janna,Janna,0.21894112674655658
Viego,Counter 3,Janna,Janna,0.21894112674655658
Viktor,Counter 3,Hwei,Hwei,0.2569790170381886
Vladimir,Counter 3,Hecarim,Hecarim,0.17426035502958578
Volibear,Counter 3,Fiora,Fiora,0.14869329388560157
Warwick,Counter 3,Yone,Yone,0.23610684729761516
Xayah,Counter 3,Graves,Graves,0.2257828956053808
Xerath,Counter 3,Graves,Graves,0.2257828956053808
Xinzhao,Counter 3,Fiora,Fiora,0.14869329388560157
Yasuo,Counter 3,Jayce,Jayce,0.2345420294300528
Yone,Counter 3,Jayce,Jayce,0.2345420294300528
Yorick,Counter 3,Gragas,Gragas,0.262490868473291
Yuumi,Counter 3,Gwen,Gwen,0.17272940734479195
Zac,Counter 3,Ambessa,Ambessa,0.14089945728741715
Zed,Counter 3,Irelia,Irelia,0.18630133382218647
Ziggs,Counter 3,Gnar,Gnar,0.17112783239373186
Zilean,Counter 3,Irelia,Irelia,0.18630133382218647
Zoe,Counter 3,Gragas,Gragas,0.262490868473291
